title,link,price,booking_date,star,cities,source
新北市｜烏來雲仙樂園門票＆餐券＆雲仙大飯店住宿券,https://www.kkday.com/zh-tw/product/102958,390,20220306,4.56,"[{'id': 'A01-001-00006', 'name': '新北市'}]",KKday
新北萬里｜野柳地質公園門票,https://www.kkday.com/zh-tw/product/19391,120,20220306,4.78,"[{'id': 'A01-001-00006', 'name': '新北市'}]",KKday
【看!草尼馬的家】綠世界生態農場紙本門票（台灣郵寄）,https://www.kkday.com/zh-tw/product/26620,295,20220314,4.84,"[{'id': 'A01-001-00009', 'name': '新竹'}]",KKday
【9折優惠】臺南山上花園水道博物館門票,https://www.kkday.com/zh-tw/product/104779,90,20220306,4.61,"[{'id': 'A01-001-00003', 'name': '台南'}]",KKday
【KKday人氣推薦】台灣花蓮｜夜宿遠雄海洋公園｜親親海洋夜未眠,https://www.kkday.com/zh-tw/product/103940,2999,20220314,4.81,"[{'id': 'A01-001-00005', 'name': '花蓮'}]",KKday
【KKday 優惠】台灣台南｜安平古堡門票,https://www.kkday.com/zh-tw/product/104777,45,20220306,4.86,"[{'id': 'A01-001-00003', 'name': '台南'}]",KKday
綠島溫泉｜朝日溫泉門票,https://www.kkday.com/zh-tw/product/123118,200,20220306,4.2,"[{'id': 'A01-001-00023', 'name': '綠島'}]",KKday
台灣新竹 | 綠世界生態農場 x 小叮噹科學主題樂園聯票,https://www.kkday.com/zh-tw/product/102155,599,20220306,4.9,"[{'id': 'A01-001-00009', 'name': '新竹'}]",KKday
【高鐵票 75 折優惠】高鐵國旅聯票來回車票＆九族文化村門票&贈日月潭纜車票,https://www.kkday.com/zh-tw/product/116032,940,20220315,4.83,"[{'id': 'A01-001-00012', 'name': '南投'}]",KKday
【KKday 獨家小孩免費】彰化鹿港 | 卷木森活館｜觀光工廠門票＋暴龍咬陀螺 DIY 手作體驗｜再加贈旅遊金,https://www.kkday.com/zh-tw/product/126640,130,20220308,0,"[{'id': 'A01-001-00011', 'name': '彰化'}]",KKday
【2022藍眼淚季節】馬祖藍眼淚生態館 Blue Tear Museum | 門票 & 導覽 | 藍眼淚近距離體驗,https://www.kkday.com/zh-tw/product/123959,349,20220307,3,"[{'id': 'A01-001-00021', 'name': '馬祖'}]",KKday
台灣台中豐原 | 台灣味噌文化館文化導覽＋味噌 DIY,https://www.kkday.com/zh-tw/product/100075,100,20220310,4.9,"[{'id': 'A01-001-00002', 'name': '台中'}]",KKday
台中｜麗寶國際賽車場卡丁車體驗,https://www.kkday.com/zh-tw/product/30302,650,20220308,4.76,"[{'id': 'A01-001-00002', 'name': '台中'}]",KKday
【日月潭陸空輕旅行】南投｜日月潭纜車＋自行車遊湖套票（即買即用）,https://www.kkday.com/zh-tw/product/30423,450,20220306,4.61,"[{'id': 'A01-001-00012', 'name': '南投'}]",KKday
【 KKday 獨家優惠75折 】台灣桃園｜大魯閣・卡丁車場,https://www.kkday.com/zh-tw/product/123508,720,20220306,4.83,"[{'id': 'A01-001-00008', 'name': '桃園'}]",KKday
【高鐵票 75 折優惠】高鐵國旅聯票單程車票＆台北 101 觀景台成人門票,https://www.kkday.com/zh-tw/product/123828,330,20220306,5,"[{'id': 'A01-001-00001', 'name': '台北'}]",KKday
